hour,bus_id,pv_profile_ratio,wind_profile_ratio,hydro_profile_ratio
1,50,0.02645668738563843,0.056178221457214364,0.04638321
2,50,0.014370895234867185,0.16778360496443048,0.04638321
3,50,0.02534778659337087,0.10841003157780557,0.04638321
4,50,0.028339805794038497,0.11538008546886071,0.04638321
5,50,0.021000569472374424,0.09404787148225582,0.04583103
6,50,0.028540855103647882,0.1296926380002993,0.04417449
7,50,0.0,0.06911166004465388,0.04251795
8,50,0.02543835202889382,0.16568990008560747,0.05190502
9,50,0.1943241742782497,0.0,0.2661513
10,50,0.37604433438190865,0.08050529539957987,0.2954169
11,50,0.48970061776685164,0.03858169783502685,0.30922142
12,50,0.4860144684856653,0.0781971180089705,0.31087797
13,50,0.3963282115981354,0.0,0.16620652
14,50,0.36262745824450326,0.14475294334559888,0.13473219
15,50,0.2644390237212081,0.2109014082860385,0.15129763
16,50,0.14758704770873757,0.17623526536913997,0.28492546
17,50,0.06786166433452702,0.09514873359241925,0.29486472
18,50,0.02141332058437773,0.0,0.25842076
19,50,,0.0,0.1286582
20,50,0.023839196654946448,0.201088504415432,0.11374931
21,50,0.02437007919851831,0.14345809016126873,0.07730536
22,50,0.0248226783787153,0.11554912038484592,0.04803976
23,50,0.02403032466743655,0.04073163402344993,0.04472667
24,50,0.023527628314213143,0.03359367886001689,0.04583103
1,51,0.029131949151368797,0.0,0.04638321
2,51,0.018678266778866377,0.0,0.04638321
3,51,0.02413719906851486,0.36087981099520716,0.04638321
4,51,0.030162682918400133,0.0646535777029428,0.04638321
5,51,0.029974965587932133,0.42570831968193584,0.04583103
6,51,0.027610816235121044,0.32877992651300736,0.04417449
7,51,0.0,0.0,0.04251795
8,51,0.040662132538873366,0.10017492290543754,0.05190502
9,51,0.23017418968046285,0.11991358110294871,0.2661513
10,51,0.40970544572747236,0.23540515066795495,0.2954169
11,51,0.5184055249806434,0.23631693660666542,0.30922142
12,51,0.5089351264605968,0.04772492104749729,0.31087797
13,51,0.4320491944492027,0.0,0.16620652
14,51,0.3875969427974284,0.017415892639996013,0.13473219
15,51,0.3066501284601671,0.0,0.15129763
16,51,0.17663979700230456,0.0,0.28492546
17,51,0.0835761778539808,0.0,0.29486472
18,51,0.020282252772866518,0.08565841007868293,0.25842076
19,51,,0.0784817391304348,0.1286582
20,51,0.024741292208687794,0.18837327498042078,0.11374931
21,51,0.02552497352362027,0.08137778058805133,0.07730536
22,51,0.02632925445714371,0.07210475723935601,0.04803976
23,51,0.025210809619678577,0.1042722752185365,0.04472667
24,51,0.024503465768978168,0.25154154170518006,0.04583103
1,52,0.07532117548260378,0.044395729312500486,0.04638321
2,52,0.07536396615115434,0.30170923380612374,0.04638321
3,52,0.07544931739702654,0.0,0.04638321
4,52,0.07541652548281258,0.0,0.04638321
5,52,0.07542874667729477,0.0,0.04583103
6,52,0.07545420518917365,0.0,0.04417449
7,52,0.0,0.3407471409596493,0.04251795
8,52,0.029276082733383106,0.404658457694944,0.05190502
9,52,0.20122041771864313,0.24225033810371066,0.2661513
10,52,0.3993979552014822,0.23829299225373027,0.2954169
11,52,0.5214943333122034,0.12564087522844467,0.30922142
12,52,0.4704423896716662,0.0,0.31087797
13,52,0.38891065184562273,0.0,0.16620652
14,52,0.3585332128565476,0.0,0.13473219
15,52,0.2730565653155023,0.0,0.15129763
16,52,0.13241155015955247,0.03671057689256434,0.28492546
17,52,0.06340072568573316,0.0,0.29486472
18,52,0.024816954588916647,0.0,0.25842076
19,52,0.0,0.0,0.1286582
20,52,0.0747150497480324,0.0,0.11374931
21,52,0.07472833398781335,0.07265699931853799,0.07730536
22,52,0.07483130929325715,0.1204749830635429,0.04803976
